date,time,room,camera102,camera103,camera104,total_occupancy,cleaning,Deep Cleaning
29-03-2022,17:35:20,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:35:29,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:35:30,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:35:36,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:35:45,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:35:49,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:35:52,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:35:55,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:35:57,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:36:00,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:36:02,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:36:06,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:36:15,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:36:17,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:36:23,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:36:28,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:36:36,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:36:38,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:36:47,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:36:51,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:36:59,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:37:00,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:37:04,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:37:05,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:37:09,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:37:18,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:37:20,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:37:27,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:37:37,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:37:40,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:37:42,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:37:55,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:38:22,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:38:33,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:38:37,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:38:56,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:39:01,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:39:05,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:39:10,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:39:13,M1 Saperation Room,0,3,0,3,False,False
29-03-2022,17:39:15,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:39:24,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:39:26,M1 Saperation Room,0,2,0,2,False,False
29-03-2022,17:39:38,M1 Saperation Room,0,3,0,3,False,False
